X, Y, Z
-6.500000000000000000e+00,0.5,86.3615570068359
-6.500000000000000000e+00,1,86.1609420776367
-6.500000000000000000e+00,1.5,85.7505416870117
-6.500000000000000000e+00,2,84.6458511352539
-6.500000000000000000e+00,2.5,81.0057678222656
-6.500000000000000000e+00,3,71.8271408081055
-6.500000000000000000e+00,3.5,60.501335144043
-6.500000000000000000e+00,4,49.9814796447754
-6.500000000000000000e+00,4.5,37.4353561401367
-6.500000000000000000e+00,5,28.0289535522461
-6.500000000000000000e+00,5.5,23.7032604217529
-6.500000000000000000e+00,6,19.609827041626
-6.500000000000000000e+00,6.5,9.57115364074707
-6.500000000000000000e+00,7,-8.90829944610596
-6.500000000000000000e+00,7.5,-28.1586933135986
-6.500000000000000000e+00,8,-47.5593910217285
-6.500000000000000000e+00,8.5,-66.7908020019531
-6.500000000000000000e+00,9,-78.7996826171875
-6.500000000000000000e+00,9.5,-85.7426147460938
-6.500000000000000000e+00,10,-92.6721572875976
-6.500000000000000000e+00,-10,-197.180206298828
-6.000000000000000000e+00,-9.5,-195.294494628906
-6.000000000000000000e+00,-9,-190.243560791016
-6.000000000000000000e+00,-8.5,-176.278656005859
-6.000000000000000000e+00,-8,-145.500122070312
-6.000000000000000000e+00,-7.5,-100.790924072266
-6.000000000000000000e+00,-7,-58.3088111877441
-6.000000000000000000e+00,-6.5,-32.4443664550781
-6.000000000000000000e+00,-6,-21.183666229248
-6.000000000000000000e+00,-5.5,-15.4151229858398
-6.000000000000000000e+00,-5,-9.4738826751709
-6.000000000000000000e+00,-4.5,-1.17123317718506
-6.000000000000000000e+00,-4,9.29988479614258
-6.000000000000000000e+00,-3.5,21.7039318084717
-6.000000000000000000e+00,-3,34.7058639526367
-6.000000000000000000e+00,-2.5,46.1643486022949
-6.000000000000000000e+00,-2,58.8556137084961
-6.000000000000000000e+00,-1.5,68.9775924682617
-6.000000000000000000e+00,-1,72.3412094116211
-6.000000000000000000e+00,-0.5,73.1161422729492
-6.000000000000000000e+00,0,73.2733993530273
-6.000000000000000000e+00,0.5,73.2481307983398
-6.000000000000000000e+00,1,73.1127700805664
-6.000000000000000000e+00,1.5,72.7764892578125
-6.000000000000000000e+00,2,71.7194976806641
-6.000000000000000000e+00,2.5,68.0038070678711
-6.000000000000000000e+00,3,58.729190826416
-6.000000000000000000e+00,3.5,47.794734954834
-6.000000000000000000e+00,4,38.151611328125
-6.000000000000000000e+00,4.5,26.4214267730713
-6.000000000000000000e+00,5,16.7202033996582
-6.000000000000000000e+00,5.5,12.0042304992676
-6.000000000000000000e+00,6,7.25504779815674
-6.000000000000000000e+00,6.5,-3.99424195289612
-6.000000000000000000e+00,7,-22.3010330200195
-6.000000000000000000e+00,7.5,-40.742073059082
-6.000000000000000000e+00,8,-60.130615234375
-6.000000000000000000e+00,8.5,-78.8557662963867
-6.000000000000000000e+00,9,-90.1816253662109
-6.000000000000000000e+00,9.5,-97.0046310424805
-6.000000000000000000e+00,10,-104.197448730469
-6.000000000000000000e+00,-10,-209.50798034668
-5.500000000000000000e+00,-9.5,-207.678421020508
-5.500000000000000000e+00,-9,-202.651412963867
-5.500000000000000000e+00,-8.5,-188.711395263672
-5.500000000000000000e+00,-8,-158.293579101562
-5.500000000000000000e+00,-7.5,-114.410575866699
-5.500000000000000000e+00,-7,-71.9950180053711
-5.500000000000000000e+00,-6.5,-45.5594215393066
-5.500000000000000000e+00,-6,-33.8670921325684
-5.500000000000000000e+00,-5.5,-27.8357276916504
-5.500000000000000000e+00,-5,-21.661226272583
-5.500000000000000000e+00,-4.5,-13.0859594345093
-5.500000000000000000e+00,-4,-2.25122690200806
-5.500000000000000000e+00,-3.5,10.5316781997681
-5.500000000000000000e+00,-3,23.5637741088867
-5.500000000000000000e+00,-2.5,34.8869819641113
-5.500000000000000000e+00,-2,47.5942878723145
-5.500000000000000000e+00,-1.5,57.3861274719238
-5.500000000000000000e+00,-1,60.6080932617188
-5.500000000000000000e+00,-0.5,61.4442520141602
-5.500000000000000000e+00,0,61.7312545776367
-5.500000000000000000e+00,0.5,61.8674850463867
-5.500000000000000000e+00,1,61.9133911132812
-5.500000000000000000e+00,1.5,61.7626953125
-5.500000000000000000e+00,2,60.8500061035156
-5.500000000000000000e+00,2.5,57.1299285888672
-5.500000000000000000e+00,3,47.8181571960449
-5.500000000000000000e+00,3.5,37.2931365966797
-5.500000000000000000e+00,4,28.5039138793945
-5.500000000000000000e+00,4.5,17.7252063751221
-5.500000000000000000e+00,5,7.78055572509766
-5.500000000000000000e+00,5.5,2.48926329612732
-5.500000000000000000e+00,6,-3.17726683616638
-5.500000000000000000e+00,6.5,-15.5458860397339
-5.500000000000000000e+00,7,-33.3573532104492
-5.500000000000000000e+00,7.5,-51.2213668823242
-5.500000000000000000e+00,8,-70.7288131713867
-5.500000000000000000e+00,8.5,-88.950813293457
-5.500000000000000000e+00,9,-99.6859893798828
-5.500000000000000000e+00,9.5,-106.479965209961
-5.500000000000000000e+00,10,-113.975471496582
-5.500000000000000000e+00,-10,-219.368438720703
-5.000000000000000000e+00,-9.5,-217.672348022461
-5.000000000000000000e+00,-9,-212.747100830078
-5.000000000000000000e+00,-8.5,-198.889343261719
-5.000000000000000000e+00,-8,-168.866729736328
-5.000000000000000000e+00,-7.5,-125.988975524902
-5.000000000000000000e+00,-7,-84.095344543457
-5.000000000000000000e+00,-6.5,-57.2892951965332
-5.000000000000000000e+00,-6,-45.205753326416
-5.000000000000000000e+00,-5.5,-38.9877052307129
-5.000000000000000000e+00,-5,-32.6711921691895
-5.000000000000000000e+00,-4.5,-23.8957405090332
-5.000000000000000000e+00,-4,-12.7407255172729
-5.000000000000000000e+00,-3.5,0.375865697860718
-5.000000000000000000e+00,-3,13.3979816436768
-5.000000000000000000e+00,-2.5,24.6269607543945
-5.000000000000000000e+00,-2,37.4138984680176
-5.000000000000000000e+00,-1.5,46.9575843811035
-5.000000000000000000e+00,-1,50.1465454101562
-5.000000000000000000e+00,-0.5,51.1426048278809
-5.000000000000000000e+00,0,51.6471633911133
-5.000000000000000000e+00,0.5,52.0183258056641
-5.000000000000000000e+00,1,52.300365447998
-5.000000000000000000e+00,1.5,52.3681869506836
-5.000000000000000000e+00,2,51.6071128845215
-5.000000000000000000e+00,2.5,47.8617553710938
-5.000000000000000000e+00,3,38.4861297607422
-5.000000000000000000e+00,3.5,28.317211151123
-5.000000000000000000e+00,4,20.2926387786865
-5.000000000000000000e+00,4.5,10.5063753128052
-5.000000000000000000e+00,5,0.361418008804321
-5.000000000000000000e+00,5.5,-5.72986316680908
-5.000000000000000000e+00,6,-12.5784301757812
-5.000000000000000000e+00,6.5,-25.8099384307861
-5.000000000000000000e+00,7,-42.9337730407715
-5.000000000000000000e+00,7.5,-60.4507789611816
-5.000000000000000000e+00,8,-80.1350021362305
-5.000000000000000000e+00,8.5,-97.8163833618164
-5.000000000000000000e+00,9,-108.013046264648
-5.000000000000000000e+00,9.5,-114.820739746094
-5.000000000000000000e+00,10,-122.608863830566
-5.000000000000000000e+00,-10,-227.358276367188
-4.500000000000000000e+00,-9.5,-225.846466064453
-4.500000000000000000e+00,-9,-221.065658569336
-4.500000000000000000e+00,-8.5,-207.304473876953
-4.500000000000000000e+00,-8,-177.655975341797
